player_champion,player_lane,Taxa_Vitoria_Media,Popularidade
FiddleSticks,NONE,0.4666666666666667,15
FiddleSticks,TOP,1.0,1
Fiora,JUNGLE,0.59375,32
Fiora,MIDDLE,0.6,5
Fiora,NONE,0.5714285714285714,28
Fiora,TOP,0.47580645161290325,124
Fizz,BOTTOM,1.0,1
Fizz,JUNGLE,1.0,3
Fizz,MIDDLE,0.5053763440860215,93
Fizz,NONE,0.7391304347826086,23
Fizz,TOP,0.6428571428571429,14
Galio,BOTTOM,0.8461538461538461,13
Galio,JUNGLE,0.0,2
Galio,MIDDLE,0.52,75
Galio,NONE,0.3,20
Galio,TOP,0.38461538461538464,13
Gangplank,BOTTOM,1.0,1
Gangplank,JUNGLE,0.5161290322580645,31
Gangplank,MIDDLE,0.375,16
Gangplank,NONE,0.47058823529411764,34
Gangplank,TOP,0.48148148148148145,162
Garen,BOTTOM,0.3333333333333333,3
Garen,JUNGLE,0.7222222222222222,18
Garen,MIDDLE,0.3333333333333333,12
Garen,NONE,0.48484848484848486,33
Garen,TOP,0.5272727272727272,110
Gnar,BOTTOM,1.0,1
Gnar,JUNGLE,0.4883720930232558,43
Gnar,MIDDLE,0.36363636363636365,11
Gnar,NONE,0.5217391304347826,46
Gnar,TOP,0.4876543209876543,162
Gragas,BOTTOM,0.6363636363636364,11
Gragas,JUNGLE,0.48046875,256
Gragas,MIDDLE,0.40625,32
Gragas,NONE,0.44545454545454544,110
Gragas,TOP,0.4727272727272727,165
Graves,BOTTOM,0.0,1
Graves,JUNGLE,0.4927007299270073,274
Graves,MIDDLE,0.5,2
Graves,NONE,0.42105263157894735,57
Graves,TOP,0.4,5
Gwen,JUNGLE,0.5068493150684932,73
Gwen,MIDDLE,0.6153846153846154,13
Gwen,NONE,0.5757575757575758,33
Gwen,TOP,0.5268817204301075,93
Hecarim,JUNGLE,0.5050505050505051,99
Hecarim,NONE,0.6470588235294118,17
Heimerdinger,BOTTOM,0.6666666666666666,3
Heimerdinger,JUNGLE,0.3333333333333333,3
Heimerdinger,MIDDLE,0.6666666666666666,3
Heimerdinger,TOP,0.38461538461538464,13
Hwei,BOTTOM,0.47435897435897434,78
Hwei,JUNGLE,1.0,2
Hwei,MIDDLE,0.5160349854227405,343
Hwei,NONE,0.5405405405405406,74
Hwei,TOP,0.5806451612903226,31
Illaoi,JUNGLE,0.8,10
Illaoi,MIDDLE,0.42857142857142855,7
Illaoi,NONE,0.29411764705882354,17
Illaoi,TOP,0.46875,64
Irelia,BOTTOM,0.5,4
Irelia,JUNGLE,0.5384615384615384,13
Irelia,MIDDLE,0.42528735632183906,87
Irelia,NONE,0.5531914893617021,47
Irelia,TOP,0.44642857142857145,112
Ivern,BOTTOM,0.5294117647058824,34
Ivern,JUNGLE,0.5838926174496645,149
Ivern,MIDDLE,1.0,2
Ivern,NONE,0.5,40
Ivern,TOP,0.0,2
Janna,BOTTOM,0.5147058823529411,204
Janna,JUNGLE,0.0,2
Janna,MIDDLE,0.5263157894736842,19
Janna,NONE,0.5,42
Janna,TOP,1.0,5
JarvanIV,BOTTOM,0.3333333333333333,6
JarvanIV,JUNGLE,0.4801980198019802,202
JarvanIV,MIDDLE,0.75,8
JarvanIV,NONE,0.27586206896551724,29
JarvanIV,TOP,0.5,2
Jax,BOTTOM,0.5,2
Jax,JUNGLE,0.51,100
Jax,MIDDLE,0.52,25
Jax,NONE,0.4927536231884058,69
Jax,TOP,0.505,200
Jayce,JUNGLE,0.56,25
Jayce,MIDDLE,0.4939759036144578,83
Jayce,NONE,0.4473684210526316,38
Jayce,TOP,0.5153846153846153,130
Jhin,BOTTOM,0.5198973042362003,779
Jhin,JUNGLE,0.7647058823529411,17
Jhin,MIDDLE,0.509090909090909,55
Jhin,NONE,0.5064102564102564,156
Jhin,TOP,0.7083333333333334,24
Jinx,BOTTOM,0.5204081632653061,882
Jinx,JUNGLE,0.3684210526315789,19
Jinx,MIDDLE,0.52,50
Jinx,NONE,0.47668393782383417,193
Jinx,TOP,0.6956521739130435,23
KSante,BOTTOM,1.0,1
KSante,JUNGLE,0.4,15
KSante,MIDDLE,0.5,8
KSante,NONE,0.36363636363636365,33
KSante,TOP,0.4642857142857143,112
Kaisa,BOTTOM,0.5005599104143337,893
Kaisa,JUNGLE,0.4090909090909091,22
Kaisa,MIDDLE,0.5147058823529411,68
Kaisa,NONE,0.5257731958762887,194
Kaisa,TOP,0.4230769230769231,26
Kalista,BOTTOM,0.4714285714285714,140
Kalista,JUNGLE,0.5714285714285714,7
Kalista,MIDDLE,0.5,12
Kalista,NONE,0.5263157894736842,38
Kalista,TOP,0.0,4
Karma,BOTTOM,0.5098039215686274,459
Karma,JUNGLE,0.5,6
Karma,MIDDLE,0.5425531914893617,94
Karma,NONE,0.5137614678899083,109
Karma,TOP,0.35,20
Karthus,BOTTOM,0.3076923076923077,13
Karthus,JUNGLE,0.45789473684210524,190
Karthus,MIDDLE,0.3333333333333333,6
Karthus,NONE,0.7435897435897436,39
Karthus,TOP,0.5,2
Kassadin,MIDDLE,0.5669291338582677,127
Kassadin,NONE,0.38461538461538464,26
Kassadin,TOP,0.5,20
Katarina,BOTTOM,0.42857142857142855,7
Katarina,JUNGLE,0.0,3
Katarina,MIDDLE,0.39555555555555555,225
Katarina,NONE,0.49122807017543857,57
Katarina,TOP,0.37037037037037035,27
Kayle,JUNGLE,0.7142857142857143,7
Kayle,MIDDLE,0.21052631578947367,19
Kayle,NONE,0.5555555555555556,18
Kayle,TOP,0.5056179775280899,89
Kayn,BOTTOM,0.0,2
Kayn,JUNGLE,0.4636363636363636,220
Kayn,MIDDLE,1.0,1
Kayn,NONE,0.35714285714285715,42
Kayn,TOP,0.0,1
Kennen,BOTTOM,0.0,2
Kennen,JUNGLE,0.5555555555555556,9
Kennen,MIDDLE,0.6666666666666666,3
Kennen,NONE,0.47058823529411764,17
Kennen,TOP,0.5121951219512195,41
Khazix,JUNGLE,0.4900662251655629,302
Khazix,NONE,0.5357142857142857,56
