player_champion,player_lane,grupo_maestria,binary_win
Brand,MIDDLE,Alta,0.5333333333333333
Brand,MIDDLE,Baixa,0.4444444444444444
Brand,NONE,Alta,0.6923076923076923
Brand,NONE,Baixa,0.5517241379310345
Brand,TOP,Alta,1.0
Brand,TOP,Baixa,0.6666666666666666
Braum,BOTTOM,Alta,0.6172839506172839
Braum,BOTTOM,Baixa,0.49295774647887325
Braum,JUNGLE,Alta,0.3333333333333333
Braum,JUNGLE,Baixa,0.6666666666666666
Braum,MIDDLE,Alta,0.5
Braum,MIDDLE,Baixa,0.375
Braum,NONE,Alta,0.5555555555555556
Braum,NONE,Baixa,0.4074074074074074
Braum,TOP,Alta,1.0
Braum,TOP,Baixa,1.0
Briar,BOTTOM,Alta,0.0
Briar,BOTTOM,Baixa,0.0
Briar,JUNGLE,Alta,0.5370370370370371
Briar,JUNGLE,Baixa,0.35714285714285715
Briar,NONE,Alta,0.3
Briar,NONE,Baixa,0.5
Caitlyn,BOTTOM,Alta,0.5339233038348082
Caitlyn,BOTTOM,Baixa,0.4557377049180328
Caitlyn,JUNGLE,Alta,0.5
Caitlyn,JUNGLE,Baixa,0.75
Caitlyn,MIDDLE,Alta,0.6086956521739131
Caitlyn,MIDDLE,Baixa,0.5416666666666666
Caitlyn,NONE,Alta,0.5131578947368421
Caitlyn,NONE,Baixa,0.3492063492063492
Caitlyn,TOP,Alta,0.6666666666666666
Caitlyn,TOP,Baixa,0.6
Camille,BOTTOM,Alta,0.5405405405405406
Camille,BOTTOM,Baixa,0.8333333333333334
Camille,JUNGLE,Alta,0.41379310344827586
Camille,JUNGLE,Baixa,0.375
Camille,MIDDLE,Alta,0.46153846153846156
Camille,MIDDLE,Baixa,0.8888888888888888
Camille,NONE,Alta,0.5833333333333334
Camille,NONE,Baixa,0.42105263157894735
Camille,TOP,Alta,0.5
Camille,TOP,Baixa,0.4888888888888889
Cassiopeia,BOTTOM,Alta,0.3333333333333333
Cassiopeia,BOTTOM,Baixa,0.3333333333333333
Cassiopeia,JUNGLE,Alta,0.16666666666666666
Cassiopeia,JUNGLE,Baixa,0.6666666666666666
Cassiopeia,MIDDLE,Alta,0.6086956521739131
Cassiopeia,MIDDLE,Baixa,0.5161290322580645
Cassiopeia,NONE,Alta,0.45454545454545453
Cassiopeia,NONE,Baixa,0.6666666666666666
Cassiopeia,TOP,Alta,0.46875
Cassiopeia,TOP,Baixa,0.3333333333333333
Chogath,BOTTOM,Baixa,0.6
Chogath,JUNGLE,Alta,0.5714285714285714
Chogath,JUNGLE,Baixa,0.7272727272727273
Chogath,MIDDLE,Alta,1.0
Chogath,MIDDLE,Baixa,0.42857142857142855
