player_champion,grupo_maestria,binary_win
Varus,Baixa,0.43162393162393164
Vayne,Alta,0.5076923076923077
Vayne,Baixa,0.44525547445255476
Veigar,Alta,0.43333333333333335
Veigar,Baixa,0.5238095238095238
Velkoz,Alta,0.6309523809523809
Velkoz,Baixa,0.38235294117647056
Vex,Baixa,1.0
Vi,Baixa,0.5
Viego,Baixa,1.0
Viktor,Alta,0.25
Viktor,Baixa,0.6111111111111112
Vladimir,Baixa,0.0
Warwick,Baixa,1.0
Xayah,Alta,0.5340909090909091
Xayah,Baixa,0.5128205128205128
Xerath,Alta,0.5
Xerath,Baixa,0.47058823529411764
XinZhao,Baixa,0.0
Yasuo,Alta,0.42857142857142855
Yasuo,Baixa,0.4375
Yone,Baixa,0.5
Yuumi,Alta,0.5106382978723404
Yuumi,Baixa,0.34210526315789475
Zac,Alta,0.4
Zac,Baixa,0.5714285714285714
Zeri,Alta,0.5
Zeri,Baixa,0.375
Ziggs,Alta,0.5
Ziggs,Baixa,0.5154639175257731
Zilean,Alta,0.6944444444444444
Zilean,Baixa,0.35135135135135137
Zoe,Alta,0.6190476190476191
Zoe,Baixa,0.0
Zyra,Alta,0.5585106382978723
Zyra,Baixa,0.42857142857142855
