ADC_Maestria,Suporte_Maestria,ADC,Suporte,Frequencia
Alta,Alta,Jinx,Zyra,105844
Alta,Alta,Kaisa,Ashe,364958
Alta,Alta,Kaisa,Bard,30316
Alta,Alta,Kaisa,Braum,106106
Alta,Alta,Kaisa,Hwei,23903
Alta,Alta,Kaisa,Karma,886160
Alta,Alta,Kaisa,Lulu,1117028
Alta,Alta,Kaisa,Lux,97944
Alta,Alta,Kaisa,Maokai,2332
Alta,Alta,Kaisa,Milio,149248
Alta,Alta,Kaisa,Nami,664620
Alta,Alta,Kaisa,Nautilus,657624
Alta,Alta,Kaisa,Poppy,29150
Alta,Alta,Kaisa,Pyke,276342
Alta,Alta,Kaisa,Rakan,220374
Alta,Alta,Kaisa,Rell,176649
Alta,Alta,Kaisa,Seraphine,141086
Alta,Alta,Kaisa,Shaco,20405
Alta,Alta,Kaisa,TahmKench,111936
Alta,Alta,Kaisa,Thresh,682110
Alta,Alta,Kaisa,Xerath,30316
Alta,Alta,Kaisa,Zyra,109604
Alta,Alta,Kalista,Leona,9898
Alta,Alta,Kalista,Lulu,46942
Alta,Alta,Kalista,Nautilus,13818
Alta,Alta,Kalista,Rakan,6174
Alta,Alta,Kalista,Rell,4949
Alta,Alta,Kalista,Renata,588
Alta,Alta,Kalista,Yuumi,4606
Alta,Alta,KogMaw,Alistar,5208
Alta,Alta,KogMaw,Lulu,26824
Alta,Alta,KogMaw,Milio,14336
Alta,Alta,KogMaw,Nami,42560
Alta,Alta,KogMaw,Rakan,7056
Alta,Alta,KogMaw,Soraka,13328
Alta,Alta,KogMaw,Thresh,65520
Alta,Alta,KogMaw,Yuumi,5264
Alta,Alta,Lucian,Alistar,20181
Alta,Alta,Lucian,Braum,59241
Alta,Alta,Lucian,Hwei,8897
Alta,Alta,Lucian,Janna,26257
Alta,Alta,Lucian,Karma,197904
Alta,Alta,Lucian,Lulu,207886
Alta,Alta,Lucian,Milio,166656
Alta,Alta,Lucian,Nami,164920
Alta,Alta,Lucian,Nautilus,61194
Alta,Alta,Lucian,Sona,19313
Alta,Alta,Lucian,Soraka,51646
Alta,Alta,Lucian,TahmKench,20832
Alta,Alta,Lucian,Thresh,169260
Alta,Alta,Lucian,Yuumi,20398
Alta,Alta,Lux,Lulu,80472
Alta,Alta,Lux,Rakan,42336
Alta,Alta,Lux,Seraphine,20328
Alta,Alta,Lux,Soraka,39984
Alta,Alta,Lux,Xerath,8736
Alta,Alta,Lux,Ziggs,3696
Alta,Alta,MissFortune,Braum,14378
Alta,Alta,MissFortune,Karma,48032
Alta,Alta,MissFortune,Leona,31916
Alta,Alta,MissFortune,Lulu,151364
Alta,Alta,MissFortune,Nami,60040
Alta,Alta,MissFortune,Nautilus,44556
Alta,Alta,MissFortune,Poppy,7900
Alta,Alta,MissFortune,Pyke,24964
Alta,Alta,MissFortune,Rakan,19908
Alta,Alta,MissFortune,Rell,31916
Alta,Alta,MissFortune,Shaco,5530
Alta,Alta,MissFortune,Thresh,123240
Alta,Alta,MissFortune,Zyra,59408
Alta,Alta,Nautilus,Senna,45402
Alta,Alta,Nilah,Blitzcrank,780
Alta,Alta,Nilah,Janna,3630
Alta,Alta,Nilah,Thresh,11700
Alta,Alta,Rengar,Ivern,14260
Alta,Alta,Samira,Alistar,8649
Alta,Alta,Samira,Braum,8463
Alta,Alta,Samira,Leona,9393
Alta,Alta,Samira,Lulu,44547
Alta,Alta,Samira,Nami,35340
Alta,Alta,Samira,Nautilus,104904
Alta,Alta,Samira,Pyke,29388
Alta,Alta,Samira,Renata,1116
Alta,Alta,Samira,Senna,14973
