player_champion,Posição_Counter,Counter,Campeão,Taxa_Vitoria_Media
Pantheon,Counter 1,Shen,Shen,0.19932483689880137
Poppy,Counter 1,Sion,Sion,0.16198396662749381
Pyke,Counter 1,Kennen,Kennen,0.08185404339250492
Qiyana,Counter 1,Vladimir,Vladimir,0.29283689522901535
Quinn,Counter 1,Sett,Sett,0.12399451161992968
Rakan,Counter 1,Kalista,Kalista,0.18421386306001686
Rammus,Counter 1,Teemo,Teemo,0.1103777878925808
Reksai,Counter 1,Kennen,Kennen,0.08185404339250492
Rell,Counter 1,Corki,Corki,0.23757396449704138
Renata,Counter 1,Sett,Sett,0.12399451161992968
Renekton,Counter 1,Diana,Diana,0.22480604277552269
Riven,Counter 1,Evelynn,Evelynn,0.14536489151873763
Rumble,Counter 1,Zac,Zac,0.2510727464168759
Samira,Counter 1,Elise,Elise,0.18537381421996807
Sejuani,Counter 1,Yasuo,Yasuo,0.259887597126546
Senna,Counter 1,Jinx,Jinx,0.31526252000600563
Seraphine,Counter 1,Kaisa,Kaisa,0.3827949882911398
Sett,Counter 1,Vladimir,Vladimir,0.29283689522901535
Shaco,Counter 1,Yuumi,Yuumi,0.17517140978679444
Shen,Counter 1,Cassiopeia,Cassiopeia,0.16889264581572272
Shyvana,Counter 1,Yone,Yone,0.23610684729761516
Singed,Counter 1,Yone,Yone,0.23610684729761516
Sion,Counter 1,Yorick,Yorick,0.19935357056010372
Sivir,Counter 1,Yorick,Yorick,0.19935357056010372
Skarner,Counter 1,Sett,Sett,0.12399451161992968
Smolder,Counter 1,Kaisa,Kaisa,0.3827949882911398
Sona,Counter 1,Galio,Galio,0.16002395040856582
Soraka,Counter 1,Caitlyn,Caitlyn,0.2556934014524974
Swain,Counter 1,Braum,Braum,0.219473475242706
Sylas,Counter 1,Chogath,Chogath,0.14072060914636944
Syndra,Counter 1,Brand,Brand,0.1998456671533595
Tahmkench,Counter 1,Belveth,Belveth,0.19506775276006044
Taliyah,Counter 1,Belveth,Belveth,0.19506775276006044
Talon,Counter 1,Bard,Bard,0.17063961679346293
Taric,Counter 1,Ezreal,Ezreal,0.30124959583317457
Teemo,Counter 1,Zilean,Zilean,0.15849065464450077
Thresh,Counter 1,Jhin,Jhin,0.3393983683119317
Tristana,Counter 1,Azir,Azir,0.194075795998873
Trundle,Counter 1,Camille,Camille,0.20356502828846537
Tryndamere,Counter 1,Camille,Camille,0.20356502828846537
Twistedfate,Counter 1,Zilean,Zilean,0.15849065464450077
Twitch,Counter 1,Ashe,Ashe,0.27697484744954537
Udyr,Counter 1,Aurora,Aurora,0.1863795545114226
Urgot,Counter 1,Darius,Darius,0.17196557169723536
Varus,Counter 1,Ivern,Ivern,0.21338661338661338
Vayne,Counter 1,Alistar,Alistar,0.25482783160297956
Veigar,Counter 1,Graves,Graves,0.2257828956053808
Velkoz,Counter 1,Anivia,Anivia,0.21905520514987967
Vex,Counter 1,Amumu,Amumu,0.18893585047431197
Vi,Counter 1,Amumu,Amumu,0.18893585047431197
Viego,Counter 1,Akshan,Akshan,0.11686390532544376
Viktor,Counter 1,Janna,Janna,0.21894112674655658
Vladimir,Counter 1,Akshan,Akshan,0.11686390532544376
Volibear,Counter 1,Hwei,Hwei,0.2569790170381886
Warwick,Counter 1,Ambessa,Ambessa,0.14089945728741715
Xayah,Counter 1,Hecarim,Hecarim,0.17426035502958578
Xerath,Counter 1,Akali,Akali,0.23883071617005838
Xinzhao,Counter 1,Ambessa,Ambessa,0.14089945728741715
Yasuo,Counter 1,Darius,Darius,0.17196557169723536
Yone,Counter 1,Heimerdinger,Heimerdinger,0.04043392504930967
Yorick,Counter 1,Akali,Akali,0.23883071617005838
Yuumi,Counter 1,Gangplank,Gangplank,0.15405235789851174
Zeri,Counter 1,Gnar,Gnar,0.17112783239373186
Ziggs,Counter 1,Darius,Darius,0.17196557169723536
Zilean,Counter 1,Illaoi,Illaoi,0.09451317912856375
