match_id,player_summoner_id,player_champion,binary_win,win,player_team,player_lane,player_role,player_position,game_duration,game_mode,game_start_datetime,team1_won,player_kills,player_deaths,player_assists,team1_champion1,team1_champion2,team1_champion3,team1_champion4,team1_champion5,team2_champion1,team2_champion2,team2_champion3,team2_champion4,team2_champion5,Coluna 1,Coluna 2
BR1_2995660037,TjACZSczN45R2KX0oV9OEbvk4VKd6gjhphRJGCTCgT5nJ2c,Elise,0,No,team2,TOP,SUPPORT,NONE,"1,71",CLASSIC,2024-09-08 13:01:37.4840,1,7,6,14,Heimerdinger,Kayn,Yasuo,Kaisa,Blitzcrank,Riven,Elise,Leblanc,MissFortune,Thresh,,
BR1_3039799042,ma4FVx9uKi70veY_rfgemEXMvzsf6_tk_S98nSdy92RdN7w,Yuumi,0,No,team2,JUNGLE,NONE,JUNGLE,"1,53",CLASSIC,2024-12-16 02:41:05.0520,1,6,4,9,Zilean,Ekko,Jayce,Aphelios,Nami,KSante,Nocturne,Ziggs,Swain,Yuumi,,
