player_champion,player_lane,kills_media,deaths_media,assists_media,duracao_media,taxa_vitoria,cluster
Amumu,TOP,7.0,12.0,13.0,2166.0,1.0,2
Anivia,BOTTOM,4.52,5.64,9.28,1678.24,0.48,1
Anivia,JUNGLE,4.5,7.5,6.5,1721.0,1.0,2
Anivia,MIDDLE,5.579831932773109,5.100840336134453,7.588235294117647,1663.7563025210084,0.5294117647058824,1
Anivia,NONE,1.1333333333333333,1.4666666666666666,1.8666666666666667,776.2666666666667,0.5666666666666667,3
Anivia,TOP,6.0,4.538461538461538,8.461538461538462,1790.5384615384614,0.6923076923076923,2
Annie,BOTTOM,2.4482758620689653,5.758620689655173,14.724137931034482,1472.7241379310344,0.5862068965517241,0
Annie,JUNGLE,2.875,4.625,6.5,1704.25,0.375,1
Annie,MIDDLE,6.314285714285714,6.2,9.414285714285715,1572.6714285714286,0.5285714285714286,1
Annie,NONE,1.6,2.9,1.85,823.55,0.35,3
Annie,TOP,5.620689655172414,5.310344827586207,8.448275862068966,1782.4137931034484,0.6206896551724138,1
Aphelios,BOTTOM,8.0,6.970802919708029,6.255474452554744,1603.2043795620439,0.5109489051094891,1
Aphelios,MIDDLE,7.0,7.222222222222222,5.888888888888889,1616.888888888889,0.4444444444444444,1
Aphelios,NONE,2.7083333333333335,2.9166666666666665,1.875,800.5833333333334,0.4166666666666667,3
Aphelios,TOP,8.857142857142858,9.142857142857142,6.142857142857143,1956.5714285714287,0.42857142857142855,1
Ashe,BOTTOM,6.1743264659271,6.8415213946117275,10.068145800316957,1568.1584786053884,0.49920760697305866,1
Ashe,JUNGLE,5.916666666666667,7.416666666666667,9.833333333333334,1398.9166666666667,0.6666666666666666,1
Ashe,MIDDLE,7.0,6.857142857142857,12.16326530612245,1608.3877551020407,0.4897959183673469,1
Ashe,NONE,2.4066666666666667,2.8733333333333335,3.006666666666667,781.66,0.4866666666666667,3
Ashe,TOP,6.25,7.75,9.75,1534.9375,0.375,1
AurelionSol,BOTTOM,6.25,7.25,10.375,1685.75,0.5,1
AurelionSol,MIDDLE,7.484375,5.8046875,8.3984375,1640.015625,0.5,1
AurelionSol,NONE,1.8709677419354838,2.064516129032258,1.6774193548387097,696.7741935483871,0.5161290322580645,3
AurelionSol,TOP,8.571428571428571,7.714285714285714,10.857142857142858,1802.642857142857,0.42857142857142855,1
Aurora,BOTTOM,1.0,8.0,11.0,2162.0,1.0,0
Aurora,JUNGLE,5.56,5.28,7.32,1675.2,0.48,1
Aurora,MIDDLE,7.12781954887218,5.7443609022556394,7.120300751879699,1589.0751879699249,0.40601503759398494,1
Aurora,NONE,2.6904761904761907,2.9047619047619047,2.2142857142857144,899.8333333333334,0.40476190476190477,3
Aurora,TOP,7.0131578947368425,6.618421052631579,7.973684210526316,1586.907894736842,0.4605263157894737,1
Azir,BOTTOM,7.0,6.0,3.0,1517.0,0.0,1
Azir,MIDDLE,6.220430107526882,5.817204301075269,6.591397849462366,1523.0913978494623,0.5053763440860215,1
Azir,NONE,1.6857142857142857,2.5714285714285716,1.0,740.9714285714285,0.37142857142857144,3
Azir,TOP,6.4,6.266666666666667,7.4,1692.6,0.4666666666666667,1
Bard,BOTTOM,2.619047619047619,5.333333333333333,16.81904761904762,1643.2285714285715,0.6,0
Bard,MIDDLE,3.0,7.0,15.1,1701.1,0.4,0
Bard,NONE,1.5294117647058822,2.3529411764705883,5.882352941176471,761.5294117647059,0.4117647058823529,3
Belveth,BOTTOM,9.0,6.0,12.5,2162.5,0.5,1
Belveth,JUNGLE,7.579831932773109,5.756302521008403,6.873949579831932,1498.6638655462184,0.5294117647058824,1
Belveth,MIDDLE,15.0,7.0,9.0,2351.0,1.0,2
Belveth,NONE,4.818181818181818,2.4545454545454546,3.272727272727273,783.2272727272727,0.5454545454545454,3
Blitzcrank,BOTTOM,1.9576271186440677,6.271186440677966,14.525423728813559,1543.3050847457628,0.5,0
Blitzcrank,JUNGLE,2.0,3.0,16.0,1994.0,1.0,0
Blitzcrank,MIDDLE,2.3157894736842106,6.368421052631579,13.368421052631579,1267.3684210526317,0.5263157894736842,0
Blitzcrank,NONE,1.1724137931034482,2.3448275862068964,4.310344827586207,729.551724137931,0.4482758620689655,3
Blitzcrank,TOP,2.4,7.6,13.4,1989.0,0.6,0
Brand,BOTTOM,4.611111111111111,8.87037037037037,10.925925925925926,1608.5185185185185,0.4444444444444444,1
Brand,JUNGLE,6.069767441860465,6.573643410852713,9.62015503875969,1594.875968992248,0.46511627906976744,1
Brand,MIDDLE,5.690476190476191,6.071428571428571,6.880952380952381,1602.357142857143,0.47619047619047616,1
Brand,NONE,2.357142857142857,2.3095238095238093,2.5,743.7619047619048,0.5952380952380952,3
